Type of Incident,Response Time (minutes),Distance to Incident (miles),Priority Level
Traffic Accident,7.434469356379754,5.930831723286756,High
Theft,32.11417256538592,14.285357442943784,Medium
Suspicious Activity,25.481586535864494,11.113912156265373,Low
Domestic Disturbance,28.236981183237155,9.180548020857032,Medium
Suspicious Activity,8.62376716388063,2.7622702864153297,High
Domestic Disturbance,-1.9103994146263243,2.7619205448749384,Low
Domestic Disturbance,4.975950788071206,1.3422123764388922,Medium
Traffic Accident,30.72347388225982,13.05955411373656,High
Domestic Disturbance,19.655809174161526,9.216167670276528,Low
Assault,29.97601238931099,10.76705237804266,Medium
Theft,7.151185530702593,0.7984751672891355,Low
Assault,41.06563273645329,14.563692856348919,Low
Assault,27.229958112902096,12.570418291606115,High
Theft,7.401230882831437,3.5789171048350044,Medium
Assault,9.497472218275217,3.136462024502959,Low
Assault,12.77613911779877,3.1593653928747902,Medium
Suspicious Activity,9.882910118056794,4.911512522913297,Medium
Theft,19.344125763349535,8.10896825866745,Medium
Theft,11.376332055746555,6.763202770310679,Medium
Traffic Accident,5.826023211775666,4.722822532871608,Low
Traffic Accident,27.492296545657247,9.371866973474502,High
Assault,13.08785259149063,2.5226609794546064,High
Traffic Accident,11.480192901499988,4.736097403760663,Medium
Traffic Accident,19.548281308856446,5.81224672775853,High
Domestic Disturbance,19.59071705310572,7.113014771147021,Low
Suspicious Activity,26.487029827471122,11.885051440198698,Low
Assault,10.29515263078261,3.395269841296216,Low
Assault,27.581181224823265,7.956399356997368,Medium
Traffic Accident,22.545897925699283,9.090011248499616,Low
Suspicious Activity,10.757045740169948,1.173530984439967,Medium
Domestic Disturbance,10.174775360978417,9.309400352570856,Medium
Suspicious Activity,11.541012005540438,2.972599793465727,Low
Assault,4.043355586907238,1.443248098286553,Medium
Suspicious Activity,34.15206397310399,14.258840290173332,Low
Suspicious Activity,36.712965081630294,14.50166447958111,High
Domestic Disturbance,20.616559296217254,12.221761547688686,Medium
Domestic Disturbance,11.193889693347128,4.916899653013875,High
Suspicious Activity,6.576176990290148,1.9162456530925662,Medium
Domestic Disturbance,33.44291743477327,10.421378884426275,High
Suspicious Activity,14.614176806692308,6.8822111592242186,Medium
Assault,1.6314179986572945,2.269554405249293,Low
Traffic Accident,16.691377773610863,7.680065196613418,Low
Suspicious Activity,7.0735944789370375,0.9986335561706667,Medium
Assault,35.856620123654274,13.68514583014234,Low
Traffic Accident,7.981973314165421,4.252309733200246,Medium
Domestic Disturbance,27.832769973398626,10.106573123132739,Medium
Theft,13.034914254981349,5.019810603296459,Medium
Traffic Accident,24.945690720360087,8.040986307078256,Low
Traffic Accident,17.557982156807125,8.427299050477554,High
Traffic Accident,6.312663279811514,3.180389605120142,Medium
Domestic Disturbance,34.43690199080446,14.558977102586098,Medium
Assault,22.03099010617981,11.739425938736161,High
Theft,36.78743801702473,14.122734652680743,Medium
Assault,34.99276781390172,13.474996581200909,Medium
Assault,22.949441515114138,9.169549692760734,High
Suspicious Activity,33.49500535271225,13.867176407835194,Low
Domestic Disturbance,-2.6190005108699896,1.7831412797528328,Medium
Traffic Accident,6.251152148867218,3.3417515050776054,Low
Domestic Disturbance,1.1759166403731571,1.1557956892028018,Medium
Suspicious Activity,9.031838144060238,5.217289796067333,Low
