Typing Speed (WPM),Typing Accuracy (%),Perceived Difficulty
64.96714153011233,56.07455618787465,Easy
58.61735698828815,51.82732640614025,Moderate
66.47688538100692,54.2975219728761,Easy
75.23029856408026,61.726235587268874,Moderate
57.658466252766644,55.95524873946097,Moderate
57.6586304305082,58.67396753031149,Moderate
75.79212815507391,67.85286473166485,Easy
67.67434729152909,65.9245770518363,Difficult
55.30525614065048,51.5829106518236,Easy
65.42560043585965,55.65744161924806,Easy
55.365823071875376,51.63621879222991,Easy
55.34270246429743,57.498615050197536,Moderate
62.41962271566034,55.99853024854455,Moderate
40.86719755342202,44.60369607714985,Easy
42.75082167486967,25.37701398693398,Moderate
54.37712470759027,53.048924758707365,Easy
49.87168879665576,45.31975525818104,Moderate
63.142473325952736,55.33318924102812,Easy
50.91975924478789,46.28658720298662,Moderate
45.87696298664709,31.351422114977915,Easy
74.65648768921554,66.09247948110642,Difficult
57.74223699513465,53.753576153179914,Easy
60.67528204687924,61.9972240658989,Easy
45.75251813786544,38.585915232710654,Easy
54.556172754748175,45.05808746480742,Difficult
61.10922589709866,52.48951808946611,Difficult
48.490064225776976,48.21806839170965,Easy
63.75698018345672,59.02503771340947,Moderate
53.99361310081195,45.94545077189556,Difficult
57.083062502067236,53.94109341742729,Moderate
53.98293387770603,49.07002823667563,Moderate
78.52278184508938,75.5137286132449,Easy
59.86502775262066,50.368259507971835,Easy
49.422890710440996,42.84229090640805,Difficult
68.22544912103189,59.44236344326791,Difficult
47.791563500289776,35.69483240960021,Moderate
62.08863595004755,57.360373740365674,Easy
40.403298761202244,37.66824524598147,Easy
46.71813951101569,42.07189284312643,Moderate
61.96861235869123,54.59881545594637,Difficult
67.3846657999541,53.56934550970662,Difficult
61.7136828118997,53.43908791688294,Moderate
58.843517176117594,51.24559287587199,Moderate
56.98896304410711,47.2786803935883,Easy
45.214780096325725,39.886873528363104,Easy
52.801557916052914,49.54165640852032,Difficult
55.393612290402125,59.285180567414564,Moderate
70.57122226218915,64.38698910012943,Easy
63.43618289568462,58.38031655972998,Easy
42.36959844637266,37.76040902290457,Moderate
63.24083969394795,47.32289964805795,Easy
56.149177195836835,50.40169009900707,Easy
53.23077999694041,48.2088530469515,Moderate
66.11676288840867,71.82129716199424,Moderate
70.30999522495951,62.31719087855795,Moderate
69.31280119116198,63.889257783713845,Easy
51.607824767773614,46.27348344247003,Moderate
56.907876241487855,45.373698429241415,Easy
63.31263431403564,62.69548495520718,Easy
69.75545127122359,66.5395713075351,Moderate
